Nombre,CANAL,GERENCIA,OPERACIÓN,REGIONAL,REGIÓN,Aliado
MOVILCO SAS-R5-TAT,COMERCIAL,PREPAGO,COM-TAT,R5 REGION ORIENTE-TAT,R5,MOVILCO SAS
MOVILES DC-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,MOVILES DC
MOVISTELLL-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,MOVISTELLL
MPERIA MOBILE-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,MPERIA MOBILE
MULTICOMUNICACIONES HM -R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,MULTICOMUNICACIONES HM 
MUNDO MOVIL JYL SAS-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,MUNDO MOVIL JYL SAS
MUNDO TECNOLOGICO GROUP-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,MUNDO TECNOLOGICO GROUP
MUNDO VARIEDADES-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,MUNDO VARIEDADES
MY MOBILE MAYORISTAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,MY MOBILE MAYORISTAS
NAFAR IMPORT AND EXPORT SAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,NAFAR IMPORT AND EXPORT SAS
NAFAR IMPORT AND EXPORT SAS-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,NAFAR IMPORT AND EXPORT SAS
NAVARRO OSPINA-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,NAVARRO OSPINA
NEGOCIOS E INVERSIONES SINGS SAS-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,NEGOCIOS E INVERSIONES SINGS SAS
NETELCO SAS-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,NETELCO SAS
NEXA-MASIVO-R3-CALL,CALL CENTER,TRAFICO INBOUND,MASIVO SAC-TRAFICO INBOUND,R3 REGION OCCIDENTE-MASIVO-TRAFICO INBOUND,R3,NEXA BPO
NEXA-SOPORTE-R3-CALL,CALL CENTER,SOPORTE,MASIVO SOPORTE,R3 REGION OCCIDENTE - MASIVO SOPORTE,R3,NEXA BPO
NEXA-VENTAS-R3-CALL,CALL CENTER,RELACIONES PRIORITARIAS,VENTAS,R3 REGION OCCIDENTE-VENTAS,R3,NEXA BPO
NEYTEL COM-R4-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R4 REGION CENTRO-PDV,R4,NEYTEL COM
NEYTEL COM-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,NEYTEL COM
NICK-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,NICK
NOA10 SAS-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,NOA10 SAS
OCANAXEL LTDA-CALLE-R5-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R5 REGION ORIENTE-CALLE,R5,OCANAXEL LTDA
OCANAXEL LTDA-PDV-R1-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R1 REGION COSTA-PDV,R1,OCANAXEL LTDA
OCANAXEL LTDA-R5-PDV-COM,COMERCIAL,AGENTES COMERCIALES,COM-PDV,R5 REGION ORIENTE-PDV,R5,OCANAXEL LTDA
OIN SAS Outsoursing installation networks-CALLE-R3-COM,COMERCIAL,AGENTES COMERCIALES,COM-CALLE,R3 REGION OCCIDENTE-CALLE,R3,OIN SAS
OLIMPICA-R1-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R1 REGION COSTA-CADENAS,R1,OLIMPICA
OLIMPICA-R2-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R2 REGION NOROCCIDENTE-CADENAS,R2,OLIMPICA
OLIMPICA-R3-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R3 REGION OCCIDENTE-CADENAS,R3,OLIMPICA
OLIMPICA-R4-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R4 REGION CENTRO-CADENAS,R4,OLIMPICA
OLIMPICA-R5-CADENAS,COMERCIAL,RETAIL,COM-CADENAS,R5 REGION ORIENTE-CADENAS,R5,OLIMPICA
ONE CONTACT BOGOTA-RUSSI CARDENAS GIANCARLO-T&T-R1,TMK,JEAN CARLO RUSSI,TMK-T&T,R1 REGION COSTA-T&T,R1,ONE CONTACT
